	text_a	text_b	labels
2860	A second victim, Michael Walker, 23, was struck in the torso, the bullet perforating his lung.	The other victim, Michael Walker, of 550 Barbey Street, was struck in the neck.	2.200
2861	In an interview, Healey, who is a criminologist, acknowledged that much of the sentiment among legislators here and across the country was wariness toward capital punishment.	In an interview, Ms. Healey, who is a criminologist, said many lawmakers here and across the country shared a wariness toward capital punishment.	4.600
2862	Franklin County Judge-Executive Teresa Barton said a firefighter was struck by lightning and was taken to the Frankfort Regional Medical Center.	A county firefighter, was struck by lightning and was in stable condition at Frankfort Regional Medical Center.	3.200
2863	Police spokesman Brig. Gen. Edward Aritonang confirmed Saturday that another two had been arrested, one in Jakarta and another in Magelang, Central Java.	Brigadier General Edward Aritonang, a police spokesman, confirmed yesterday that another two had been arrested, one in Jakarta and another in Magelang, Central Java.	5.000
2864	Federal Judge William Barbour said Tuesday he imposed the maximum sentence because Avants showed no remorse in the brutal slaying.	U.S. District Judge William Barbour said he imposed the maximum because Avants showed no remorse.	3.600
2865	About 120 potential jurors were being asked to complete a lengthy questionnaire.	The jurors were taken into the courtroom in groups of 40 and asked to fill out a questionnaire.	3.200
2866	Five alternate jurors were also chosen, with a final one set to be selected Friday morning from the panel.	Five alternate jurors also were selected, with a sixth alternate to be picked on Friday.	4.600
2867	The California Farm Bureau did not immediately return calls seeking comment.	The California Farm Bureau did not immediately have an official response to Tuesday's ruling.	3.800
2868	But the prime minister told the BBC he wasn't bothered by polls and that he would continue to do what he believed to be right.	He said he wasn't bothered by polls and that he would continue to do what he believed to be right, in both foreign and domestic policy.	3.400
2869	Gen. Sattler heads a Combined Joint Task Force based on ship in the Gulf of Aden and the Indian Ocean.	General Sattler heads a Combined Joint Task Force aboard the command ship Mount Whitney.	3.600
2870	Wall Street analysts had expected 22 cents a share, according to Thomson First Call.	The results were 3 cents a share lower than the forecast of analysts surveyed by Thomson First Call.	2.200
2871	The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company.	The legal ruling follows three days of wild volatility in RIM's stock over speculation that PC giant Hewlett-Packard Co. may be bidding for the company.	3.600
2872	The findings were published in the July 1 issue of the Annals of Internal Medicine.	The findings are being published today in the Annals of Internal Medicine.	3.800
2873	The measures could be taken up by the full Senate as early as Friday.	Ratliff said he hopes to bring the two measures to the full Senate by Friday.	4.000
2874	Enron spokesman Eric Thode declined to comment on the mediation order.	"""We think it's great news,"" said Enron spokesman Eric Thode."	1.733
2875	Labor Department analysts think the payroll statistics from the survey of businesses provide a more accurate picture of the economy because the survey figures are based on a larger sample.	The analysts said they believe the payroll statistics provide a more accurate picture of the economy because they are based on a larger sample.	4.000
2876	The parents want her kept alive; her husband says she never wanted to be kept alive artificially.	Michael Schiavo has argued that his wife never wanted to be kept alive artificially.	2.800
2877	"Earlier, he told France Inter-Radio, ""I think we can now qualify what is happening as a genuine epidemic."""	"""I think we can now qualify what is happening as a genuine epidemic,"" Health Minister Jean-Francois Mattei said on France Inter radio."	3.200
2878	Terri Schiavo, 39, is expected to die sometime in the next two weeks in the Tampa-area hospice where she has spent the past several years.	Terri Schiavo, 39, underwent the procedure at the Tampa Bay area hospice where she has been living for several years, said her father, Bob Schindler.	1.800
2879	Prior to joining Kodak, Palumbo worked for Procter & Gamble Corp., where he managed products such as Folgers and Pantene shampoo.	Prior to joining Eastman Kodak, Mr. Palumbo held senior marketing positions for Procter & Gamble.	3.750
2880	Mr McDevitt has been granted control of three crucial aspects of policing in the Solomons.	Mr McDevitt has been granted control of three aspects of policing by Commissioner William Morrell.	3.750
2881	Officials with North Carolina Speedway at Rockingham could not be reached.	NASCAR officials could not be reached for comment Tuesday.	2.909
2882	They said the child was taken to Nassau County Medical Center for observation.	"The boy was taken to Nassau University Medical Center, where staff said he was ""doing okay."""	3.400
2883	Tisha Kresler, a spokeswoman for Global Crossing, declined to comment.	A Global Crossing representative had no immediate comment.	3.600
2884	The unions also staged a five-day strike in March that forced all but one of Yale's dining halls to close.	The unions also staged a five-day strike in March; strikes have preceded eight of the last 10 contracts.	2.600
2885	Gov. Rick Perry has said that while he opposes gambling expansion, he would be reluctant to veto continuation of the Lottery Commission.	"Gov. Rick Perry opposes expansion of gambling but has said he would be ""hard-pressed"" to veto the lottery sunset bill."	3.800
2886	In midafternoon trading, the Nasdaq composite index was up 8.34, or 0.5 percent, to 1,790.47.	The Nasdaq Composite Index .IXIC dipped 8.59 points, or 0.48 percent, to 1,773.54.	1.600
2887	In Kentucky, Democratic Attorney General Ben Chandler faces U.S. Rep. Ernie Fletcher.	Kentucky: Republican Ernie Fletcher, a three-term House member, is battling Democratic state Attorney General Ben Chandler.	3.800
2888	The Dow Jones Industrial Average fell 98.32, or about 1.1 percent, to 9011.53.	The Dow Jones industrial average finished the day down 98.32 points at 9,011.53.	3.400
2889	Enron's 401(k) plan covered about 20,000 workers, retirees and beneficiaries.	Enron's stock comprised as much as 61% of the workers' 401(k) portfolios.	2.500
2890	The US Senate judiciary committee overcame a significant hurdle yesterday in the battle to create a trust fund to pay victims of asbestos exposure.	The Senate judiciary committee on Tuesday overcame a significant hurdle in the battle to create a trust fund to pay victims of asbestos exposure but the most difficult obstacles remain.	3.750
2891	But she didn't say whether she'll certify the two-year $117.4 billion budget for 2004-05.	She said she didn't know yet whether she would certify the budget.	3.167
2892	It would be difficult to overestimate the potential dangers of the Remote Procedure Call (RPC) vulnerability.	The flaw involves the Remote Procedure Call (RPC) protocol, which deals with inter-computer communications.	2.500
